Physician_ID,Cnt_Fraud_Engagement,Cnt_Fraud_Engagement_Rate
PHY327728,72,0.02
PHY413972,72,0.02
PHY433322,72,0.02
PHY406309,72,0.02
PHY398203,72,0.02
PHY319060,72,0.02
PHY408317,72,0.02
PHY365922,72,0.02
PHY315931,72,0.02
PHY372901,72,0.02
PHY372826,71,0.02
PHY400092,71,0.02
PHY396214,71,0.02
PHY415881,71,0.02
PHY352267,71,0.02
PHY377053,71,0.02
PHY387406,71,0.02
PHY336761,71,0.02
PHY349650,71,0.02
PHY405487,71,0.02
PHY350923,71,0.02
PHY326720,71,0.02
PHY364188,71,0.02
PHY421454,71,0.02
PHY405131,71,0.02
PHY390602,71,0.02
PHY324804,71,0.02
PHY322923,71,0.02
PHY419998,71,0.02
PHY330940,71,0.02
PHY398359,71,0.02
PHY426218,71,0.02
PHY381309,71,0.02
PHY414603,71,0.02
PHY312306,70,0.02
PHY387559,70,0.02
PHY358305,70,0.02
PHY392398,70,0.02
PHY350939,70,0.02
PHY318058,70,0.02
PHY347173,70,0.02
PHY321837,70,0.02
PHY401353,70,0.02
PHY323857,69,0.02
PHY368759,69,0.02
PHY365181,69,0.02
PHY399921,69,0.02
PHY328284,69,0.02
PHY379754,69,0.02
PHY330296,69,0.02
PHY322656,69,0.02
PHY312541,69,0.02
PHY350066,69,0.02
PHY330288,69,0.02
PHY385549,69,0.02
PHY364402,69,0.02
PHY334945,69,0.02
PHY335697,69,0.02
PHY311496,69,0.02
PHY369869,69,0.02
PHY338083,69,0.02
PHY377653,69,0.02
PHY328354,69,0.02
PHY382529,69,0.02
PHY349096,69,0.02
PHY382630,68,0.02
PHY430301,68,0.02
PHY416682,68,0.02
PHY334030,68,0.02
PHY342961,68,0.02
PHY352453,68,0.02
PHY401087,68,0.02
PHY335917,68,0.02
PHY364717,68,0.02
PHY343982,68,0.02
PHY378976,68,0.02
PHY381181,68,0.02
PHY320191,68,0.02
PHY358047,68,0.02
